詞彙,出現次數
唯有,2
太早,2
違反,2
足以,2
疲勞,2
予學生,2
這議題,2
當初,2
第一步,2
沒意義,2
其中,2
辦理,2
寒暑假,2
課後輔導,2
優良,2
總是,2
社自,2
學科為,2
學力,2
友善,2
優秀,2
服務,2
進國家,2
如芬蘭,2
高效率,2
5.30,2
習課,2
課品質,2
換取,2
還高,2
再到,2
出作業,2
很快,2
剩餘,2
適得,2
避開,2
車流,2
學歷,2
付議,2
漂亮,2
各自,2
本分,2
應有,2
義務,2
累死累活,2
不停,2
全科,2
衝刺,2
不均,2
規模,2
游泳,2
錯開,2
好像,2
導師,2
付出,2
一倍,2
看清楚,2
損失,2
能否,2
涵養,2
國民藝術,2
向上,2
音樂課,2
坐公車,2
壓抑,2
晚上十,2
本意,2
懇請,2
青春,2
非常少,2
並不影響,2
人立場,2
框架,2
發揮,2
重影,2
此項,2
考考,2
已成,2
推薦,2
準時,2
意外,2
事故,2
可悲,2
還什麼,2
分數,2
應檢討,2
對學習,2
紀律,2
採取,2
灣更,2
行萬里,2
草草,2
成學生,2
教改,2
穿插,2
迫使,2
機關,2
本國,2
交通安全,2
為學生,2
做出,2
班會,2
對美術,2
國中階段,2
點較,2
合宜,2
態與國,2
各式,2
隔日,2
缺課,2
建議將,2
並維持,2
點結束,2
將音樂,2
靜態,2
選修制,2
課程宜,2
亦可,2
鄰近,2
已開,2
發國家,2
課後自願,2
非統,2
一納入,2
並兼顧,2
照理,2
較學科,1
僅為,1
文章,1
中之論點,1
分析,1
論據,1
服力,1
及學生,1
面上,1
訓練學,1
無其餘,1
增不減,1
多方,1
還是將,1
壓在,1
自相矛盾,1
國小至,1
應用,1
考場,1
刁難,1
大改,1
屁用,1
還多,1
比重,1
實行會,1
媒介,1
一輩子,1
幾所學校,1
當然會,1
那應,1
答案,1
剪掉,1
然後將,1
選科,1
沒人,1
選幾科,1
還蠻,1
穩穩,1
多學學,1
以偏概全,1
五小時,1
留國,1
更動,1
依據現,1
連早,1
提議者,1
沒學,1
教過,1
理想,1
擺明,1
彌補學校,1
印象,1
加起,1
國小持續,1
改變成,1
當前,1
漏洞百出,1
未補習,1
高等,1
中學學生,1
第一堂,1
課開始,1
點時,1
梳妝,1
三十分,1
估算,1
共三小時,1
晚餐,1
上花,1
內處,1
調動,1
上治標,1
問何謂,1
雖為,1
類似,1
課有,1
然後就,1
闔過,1
睡夠,1
教的夠,1
多且,1
說服,1
夠滿,1
足現,1
學科上,1
灣本來,1
看得出,1
最後結,1
果還,1
看成,1
認真教,1
倒不如,1
東西想,1
什麼關,1
連鎖,1
有過,1
多無用,1
真才,1
實學,1
量過,1
就會花,1
學子,1
生物,1
生存,1
必不可少,1
調劑,1
各類,1
急劇,1
敏感,1
判斷,1
思辨,1
書則極,1
大程度,1
地仰,1
賴大腦,1
腦中,1
歸檔,1
清理,1
逐末,1
未見,1
其明,1
多餘無意,1
當初將,1
原先,1
要將,1
應當要,1
將基礎,1
一零八課,1
綱下,1
理化,1
通刪,1
國語文,1
科去,1
脈絡化,1
我才剛,1
動用,1
還考試,1
何意,1
新增,1
我表極力,1
四大,1
國民中,1
學階段,1
貿然,1
除並,1
將無意,1
並堅,1
決反,1
縮至,1
這套,1
未經,1
論點,1
無立場,1
何以,1
莫名,1
諸位,1
任何人,1
夠嗎,1
只調,1
整上,1
經算,1
昏昏欲睡,1
然後下,1
點來,1
進行些,1
覺得來,1
興趣並,1
活動課,1
這幾點,1
進美國,1
潛在,1
不減,1
或家務,1
晚課,1
疊合,1
公共交通,1
道路,1
打亂,1
立刻,1
能教會,1
別國,1
國中補,1
課看,1
更想,1
五大,1
科上,1
課之間,1
交替,1
作者,1
其排,1
看過,1
霸凌,1
駱駝,1
加速,1
講的,1
很細,1
多關,1
懷學生,1
這絕,1
減太多,1
搞不懂,1
接下,1
無處,1
釋放,1
只留,1
大輕生,1
幾率,1
超人,1
十項,1
全能,1
升為,1
國自英數,1
社頭,1
腦會炸,1
學有,1
有趣,1
經靜,1
下心,1
想過,1
什麼樣,1
想訴,1
心聲,1
已經苦,1
撕爛,1
主義的,1
完完全全,1
抑制,1
讀不來,1
天賦,1
當個,1
然後跟學,1
生計,1
比讀,1
一百倍,1
出去,1
從家長,1
每當,1
耐心,1
多問,1
一句,1
看見,1
脆弱,1
勇氣,1
熱情,1
憤怒,1
純真,1
最棒,1
禮物,1
分享,1
一段路,1
天大,1
我身,1
加附,1
用詞,1
必需,1
何謂,1
僅六小時,1
科是,1
接觸並,1
初步,1
空殼,1
他人,1
爸寶媽,1
毫無幫助,1
關於憂鬱,1
自網,1
最佳解,1
三級,1
防護,1
機制,1
尚有,1
採用,1
評分,1
並使,1
內容能,1
時勢,1
連結,1
學前,1
在外,1
因上,1
延後產生,1
想表達,1
打字,1
打出,1
口頭,1
之後會,1
解惑,1
致學生,1
無非,1
幾種,1
晚間,1
這三種,1
除開,1
兩種,1
各科,1
合成,1
六邊,1
形戰士,1
生要,1
花大,1
多方面,1
所要,1
認為並,1
藉由,1
生根,1
據興趣,1
課表上,1
比課,1
綱少,1
永遠教,1
再學,1
一遍,1
只好,1
似乎,1
僵硬,1
講義,1
驗收驗,1
走出,1
殿堂,1
沒先,1
改改,1
排補習,1
滿滿,1
噹噹,1
驗收,1
坐牢,1
課表近,1
分攤,1
統測,1
狂拼,1
幾長,1
有三個,1
認為須,1
加考,1
所指,1
獨自,1
特殊,1
留言,1
學而成,1
而論,1
需一個,1
節課程,1
因進度,1
減後學生,1
忍受,1
拋棄,1
因果,1
現代學生,1
若縮,1
仍持,1
雖好,1
有力,1
這樣講,1
法學到,1
烹飪,1
義的還,1
花錢,1
實後來,1
晚才,1
學生讀,1
變晚,1
意放棄,1
改至,1
能學到,1
真可笑,1
運作,1
議案,1
問將,1
點跟放,1
學後有,1
空餘,1
關系,1
變少,1
總時數,1
ubike,1
騎車載,1
以為,1
起鬨,1
十年,1
前念,1
半開始,1
減少還,1
頂大微,1
積分,1
助教,1
難教,1
以時間,1
剛剛,1
東西載,1
配有,1
那隔,1
並不多,1
排上,1
利弊得失,1
衡量,1
薪水,1
幫忙,1
中餐,1
過短,1
但家長,1
高峰,1
改制,1
需明確,1
補償,1
行政,1
會產生,1
行試,1
餐飲,1
並考慮,1
一刀切,1
能用,1
拔除,1
榨乾,1
會有,1
硬戰,1
課老師,1
說現,1
但還,1
趕校車,1
硬撐,1
普科,1
生書,1
人會,1
無權,1
干擾,1
若要,1
五次,1
打理,1
各讀,1
此時計,1
繪圖,1
音樂練習,1
分心,1
實現,1
補習生,1
不便,1
